evidence_id,offer_id,source_type,source_file,page_number,source_location,source_text,extracted_value,extraction_confidence,normalization_confidence,verification_status,requires_review
EVD-0001,OFF-0001,EXCEL,Supplier_A_Quote.xlsx,,Quote!B7,Qty 0.01 × BOX @ INR 9497.9,9497.9,HIGH,HIGH,NORMALIZED,False
EVD-0002,OFF-0002,EXCEL,Supplier_A_Quote.xlsx,,Quote!B8,Qty 32.0 × CARTON @ INR 3020.0,3020.0,HIGH,HIGH,NORMALIZED,False
EVD-0003,OFF-0003,EXCEL,Supplier_A_Quote.xlsx,,Quote!B9,Qty 35.0 × CARTON @ INR 2886.35,2886.35,HIGH,HIGH,NORMALIZED,False
EVD-0004,OFF-0004,EXCEL,Supplier_A_Quote.xlsx,,Quote!B10,Qty 80.0 × BOX @ INR 2019.13,2019.13,HIGH,HIGH,NORMALIZED,False
EVD-0005,OFF-0005,EXCEL,Supplier_A_Quote.xlsx,,Quote!B11,Qty 90.0 × CARTON @ INR 5528.14,5528.14,HIGH,HIGH,NORMALIZED,False
EVD-0006,OFF-0006,EXCEL,Supplier_A_Quote.xlsx,,Quote!B12,Qty 6500.0 × BAG @ INR 12.8997,12.8997,HIGH,HIGH,NORMALIZED,False
EVD-0007,OFF-0007,EXCEL,Supplier_A_Quote.xlsx,,Quote!B13,Qty 180.0 × BOX @ INR 876.14,876.14,HIGH,HIGH,NORMALIZED,False
EVD-0008,OFF-0008,EXCEL,Supplier_A_Quote.xlsx,,Quote!B14,Qty 240.0 × BOX @ INR 865.9325,865.9325,HIGH,HIGH,NORMALIZED,False
EVD-0009,OFF-0009,EXCEL,Supplier_A_Quote.xlsx,,Quote!B15,Qty 1000.0 × BAG @ INR 11.8795,11.8795,HIGH,HIGH,NORMALIZED,False
EVD-0010,OFF-0010,EXCEL,Supplier_A_Quote.xlsx,,Quote!B16,Qty 50.0 × CARTON @ INR 3569.33,3569.33,HIGH,HIGH,NORMALIZED,False
EVD-0011,OFF-0011,EXCEL,Supplier_A_Quote.xlsx,,Quote!B17,Qty 400.0 × BOX @ INR 13118.85,13118.85,HIGH,HIGH,NORMALIZED,False
EVD-0012,OFF-0012,EXCEL,Supplier_A_Quote.xlsx,,Quote!B18,Qty 916.67 × REEL @ INR 5106.9792,5106.9792,HIGH,HIGH,NORMALIZED,False
EVD-0013,OFF-0013,EXCEL,Supplier_A_Quote.xlsx,,Quote!B19,Qty 1220.0 × BOX @ INR 283.78,283.78,HIGH,HIGH,NORMALIZED,False
EVD-0014,OFF-0014,EXCEL,Supplier_A_Quote.xlsx,,Quote!B20,Qty 375.0 × REEL @ INR 4593.6972,4593.6972,HIGH,HIGH,NORMALIZED,False
EVD-0015,OFF-0015,EXCEL,Supplier_A_Quote.xlsx,,Quote!B21,Qty 600.0 × BOX @ INR 1204.935,1204.935,HIGH,HIGH,NORMALIZED,False
EVD-0016,OFF-0016,EXCEL,Supplier_A_Quote.xlsx,,Quote!B22,Qty 37.5 × BOX @ INR 1225.52,1225.52,HIGH,HIGH,NORMALIZED,False
EVD-0017,OFF-0017,EXCEL,Supplier_A_Quote.xlsx,,Quote!B23,Qty 1250.0 × REEL @ INR 5371.4928,5371.4928,HIGH,HIGH,NORMALIZED,False
EVD-0018,OFF-0018,EXCEL,Supplier_A_Quote.xlsx,,Quote!B24,Qty 1083.33 × REEL @ INR 5108.0868,5108.0868,HIGH,HIGH,NORMALIZED,False
EVD-0019,OFF-0019,EXCEL,Supplier_A_Quote.xlsx,,Quote!B25,Qty 280.0 × CARTON @ INR 144.145,144.145,HIGH,HIGH,NORMALIZED,False
EVD-0020,OFF-0020,EXCEL,Supplier_A_Quote.xlsx,,Quote!B26,Qty 70.0 × CARTON @ INR 3678.18,3678.18,HIGH,HIGH,NORMALIZED,False
EVD-0021,OFF-0021,EXCEL,Supplier_A_Quote.xlsx,,Quote!B27,Qty 20000.0 × BAG @ INR 11.3028,11.3028,HIGH,HIGH,NORMALIZED,False
EVD-0022,OFF-0022,EXCEL,Supplier_A_Quote.xlsx,,Quote!B28,Qty 42.5 × BOX @ INR 6712.48,6712.48,HIGH,HIGH,NORMALIZED,False
EVD-0023,OFF-0023,EXCEL,Supplier_A_Quote.xlsx,,Quote!B29,Qty 160.0 × BOX @ INR 428.0225,428.0225,HIGH,HIGH,NORMALIZED,False
EVD-0024,OFF-0024,EXCEL,Supplier_A_Quote.xlsx,,Quote!B30,Qty 27000.0 × BAG @ INR 11.0855,11.0855,HIGH,HIGH,NORMALIZED,False
EVD-0025,OFF-0025,EXCEL,Supplier_A_Quote.xlsx,,Quote!B31,Qty 24.0 × BOX @ INR 2907.1,2907.1,HIGH,HIGH,NORMALIZED,False
EVD-0026,OFF-0026,EXCEL,Supplier_A_Quote.xlsx,,Quote!B32,Qty 833.33 × REEL @ INR 4639.56,4639.56,HIGH,HIGH,NORMALIZED,False
EVD-0027,OFF-0027,EXCEL,Supplier_A_Quote.xlsx,,Quote!B33,Qty 440.0 × CARTON @ INR 1587.505,1587.505,HIGH,HIGH,NORMALIZED,False
EVD-0028,OFF-0028,EXCEL,Supplier_A_Quote.xlsx,,Quote!B34,Qty 9500.0 × BAG @ INR 11.7481,11.7481,HIGH,HIGH,NORMALIZED,False
EVD-0029,OFF-0029,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 15,Qty 916.67 × REEL @ INR 4748.6028,4748.6028,HIGH,HIGH,NORMALIZED,False
EVD-0030,OFF-0030,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 19,Qty 9500.0 × BAG @ INR 11.4017,11.4017,HIGH,HIGH,NORMALIZED,False
EVD-0031,OFF-0031,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 14,Qty 140.0 × BOX @ INR 292.285,292.285,HIGH,HIGH,NORMALIZED,False
EVD-0032,OFF-0032,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 28,Qty 0.12 × CARTON @ INR 426.3125,426.3125,HIGH,HIGH,NORMALIZED,False
EVD-0033,OFF-0033,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 2,Qty 480.0 × BOX @ INR 152.3725,152.3725,HIGH,HIGH,NORMALIZED,False
EVD-0034,OFF-0034,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 17,Qty 17.5 × BOX @ INR 5358.88,5358.88,HIGH,HIGH,NORMALIZED,False
EVD-0035,OFF-0035,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 22,Qty 80.0 × CARTON @ INR 816.08,816.08,HIGH,HIGH,NORMALIZED,False
EVD-0036,OFF-0036,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 16,Qty 28.0 × BOX @ INR 9502.55,9502.55,HIGH,HIGH,NORMALIZED,False
EVD-0037,OFF-0037,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 12,Qty 25.0 × BOX @ INR 7158.48,7158.48,HIGH,HIGH,NORMALIZED,False
