discount_tier_id,offer_id,tier_sequence,supplier_min_qty,supplier_max_qty,supplier_tier_uom,min_inclusive,max_inclusive,discount_percentage,source_text,normalized_min_qty,normalized_max_qty,buyer_uom,conversion_factor,normalization_status
DT-0001,OFF-0029,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0002,OFF-0029,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0003,OFF-0029,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0004,OFF-0030,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0005,OFF-0030,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0006,OFF-0030,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0007,OFF-0031,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,12450.0,EA,50.0,NORMALIZED
DT-0008,OFF-0031,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,12500.0,24950.0,EA,50.0,NORMALIZED
DT-0009,OFF-0031,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,25000.0,,EA,50.0,NORMALIZED
DT-0010,OFF-0032,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0011,OFF-0032,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0012,OFF-0032,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,12500.0,,EA,25.0,NORMALIZED
DT-0013,OFF-0033,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0014,OFF-0033,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0015,OFF-0033,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,12500.0,,EA,25.0,NORMALIZED
DT-0016,OFF-0034,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,49800.0,EA,200.0,NORMALIZED
DT-0017,OFF-0034,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,50000.0,99800.0,EA,200.0,NORMALIZED
DT-0018,OFF-0034,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,100000.0,,EA,200.0,NORMALIZED
DT-0019,OFF-0035,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,12450.0,EA,50.0,NORMALIZED
DT-0020,OFF-0035,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,12500.0,24950.0,EA,50.0,NORMALIZED
DT-0021,OFF-0035,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,25000.0,,EA,50.0,NORMALIZED
DT-0022,OFF-0036,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,124500.0,EA,500.0,NORMALIZED
DT-0023,OFF-0036,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,125000.0,249500.0,EA,500.0,NORMALIZED
DT-0024,OFF-0036,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,250000.0,,EA,500.0,NORMALIZED
DT-0025,OFF-0037,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,49800.0,EA,200.0,NORMALIZED
DT-0026,OFF-0037,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,50000.0,99800.0,EA,200.0,NORMALIZED
DT-0027,OFF-0037,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,100000.0,,EA,200.0,NORMALIZED
DT-0028,OFF-0038,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,49800.0,EA,200.0,NORMALIZED
DT-0029,OFF-0038,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,50000.0,99800.0,EA,200.0,NORMALIZED
DT-0030,OFF-0038,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,100000.0,,EA,200.0,NORMALIZED
DT-0031,OFF-0039,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,124500.0,EA,500.0,NORMALIZED
DT-0032,OFF-0039,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,125000.0,249500.0,EA,500.0,NORMALIZED
DT-0033,OFF-0039,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,250000.0,,EA,500.0,NORMALIZED
DT-0034,OFF-0040,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0035,OFF-0040,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0036,OFF-0040,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0037,OFF-0041,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0038,OFF-0041,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0039,OFF-0041,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0040,OFF-0042,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,24900.0,EA,100.0,NORMALIZED
DT-0041,OFF-0042,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,25000.0,49900.0,EA,100.0,NORMALIZED
DT-0042,OFF-0042,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,50000.0,,EA,100.0,NORMALIZED
DT-0043,OFF-0043,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,124500.0,EA,500.0,NORMALIZED
DT-0044,OFF-0043,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,125000.0,249500.0,EA,500.0,NORMALIZED
DT-0045,OFF-0043,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,250000.0,,EA,500.0,NORMALIZED
DT-0046,OFF-0044,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0047,OFF-0044,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0048,OFF-0044,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,12500.0,,EA,25.0,NORMALIZED
DT-0049,OFF-0045,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,24900.0,EA,100.0,NORMALIZED
DT-0050,OFF-0045,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,25000.0,49900.0,EA,100.0,NORMALIZED
DT-0051,OFF-0045,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,50000.0,,EA,100.0,NORMALIZED
