sku_id,sku_name,category,buyer_uom,specification,status,typical_supplier_uoms
SKU-001,CB Item 001,Corrugated Boxes,EA,S-PLY-3-CB-001,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-002,FP Item 002,Foam & Padding,EA,S-PLY-5-FP-002,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-003,ST Item 003,Strapping & Tapes,EA,FB-38-ST-003,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-004,FW Item 004,Films & Wraps,ROLL,UV-RES-FW-004,ACTIVE,"REEL,ROLL"
SKU-005,LP Item 005,Labels & Print,EA,HS-WRAP-LP-005,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-006,SS Item 006,Shipping Supplies,BAG,EK-31-SS-006,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-007,CB Item 007,Corrugated Boxes,EA,S-PLY-3-CB-007,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-008,FP Item 008,Foam & Padding,EA,S-PLY-5-FP-008,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-009,ST Item 009,Strapping & Tapes,EA,FB-38-ST-009,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-010,FW Item 010,Films & Wraps,ROLL,UV-RES-FW-010,ACTIVE,"REEL,ROLL"
SKU-011,LP Item 011,Labels & Print,EA,HS-WRAP-LP-011,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-012,SS Item 012,Shipping Supplies,BAG,EK-31-SS-012,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-013,CB Item 013,Corrugated Boxes,EA,S-PLY-3-CB-013,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-014,FP Item 014,Foam & Padding,EA,S-PLY-5-FP-014,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-015,ST Item 015,Strapping & Tapes,EA,FB-38-ST-015,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-016,FW Item 016,Films & Wraps,ROLL,UV-RES-FW-016,ACTIVE,"REEL,ROLL"
SKU-017,LP Item 017,Labels & Print,EA,HS-WRAP-LP-017,ACTIVE,"BOX,CARTON,EA,ROLL"
