coverage_record_id,rfx_id,rfx_line_id,line_number,sku_id,supplier_id,supplier_name,supplier_product_mapping_exists,offer_received
CV-0001,RFX-001,LF-01,1,SKU-006,SUP-001,PackRight Industries,True,True
CV-0002,RFX-001,LF-01,1,SKU-006,SUP-002,CorruCore Packaging Ltd,True,True
CV-0003,RFX-001,LF-01,1,SKU-006,SUP-003,GlobalBox Trading Co,True,True
CV-0004,RFX-001,LF-01,1,SKU-006,SUP-004,SwiftBox Crafts,True,True
CV-0005,RFX-001,LF-01,1,SKU-006,SUP-005,EcoPack Solutions,True,True
CV-0006,RFX-001,LF-01,1,SKU-006,SUP-006,PrimeBox Industries,True,True
CV-0007,RFX-001,LF-01,1,SKU-006,SUP-007,NovaPaper Mills,True,False
CV-0008,RFX-001,LF-01,1,SKU-006,SUP-008,Unicarton Exports,True,False
CV-0009,RFX-001,LF-02,2,SKU-011,SUP-001,PackRight Industries,True,True
CV-0010,RFX-001,LF-02,2,SKU-011,SUP-002,CorruCore Packaging Ltd,True,True
CV-0011,RFX-001,LF-02,2,SKU-011,SUP-003,GlobalBox Trading Co,True,True
CV-0012,RFX-001,LF-02,2,SKU-011,SUP-004,SwiftBox Crafts,True,False
CV-0013,RFX-001,LF-02,2,SKU-011,SUP-005,EcoPack Solutions,True,True
CV-0014,RFX-001,LF-02,2,SKU-011,SUP-006,PrimeBox Industries,True,False
CV-0015,RFX-001,LF-02,2,SKU-011,SUP-007,NovaPaper Mills,True,False
CV-0016,RFX-001,LF-02,2,SKU-011,SUP-008,Unicarton Exports,True,False
CV-0017,RFX-001,LF-03,3,SKU-016,SUP-001,PackRight Industries,True,True
CV-0018,RFX-001,LF-03,3,SKU-016,SUP-002,CorruCore Packaging Ltd,True,True
CV-0019,RFX-001,LF-03,3,SKU-016,SUP-003,GlobalBox Trading Co,True,False
CV-0020,RFX-001,LF-03,3,SKU-016,SUP-004,SwiftBox Crafts,True,True
CV-0021,RFX-001,LF-03,3,SKU-016,SUP-005,EcoPack Solutions,True,False
CV-0022,RFX-001,LF-03,3,SKU-016,SUP-006,PrimeBox Industries,True,True
CV-0023,RFX-001,LF-03,3,SKU-016,SUP-007,NovaPaper Mills,True,False
CV-0024,RFX-001,LF-03,3,SKU-016,SUP-008,Unicarton Exports,True,False
CV-0025,RFX-001,LF-04,4,SKU-021,SUP-001,PackRight Industries,True,True
CV-0026,RFX-001,LF-04,4,SKU-021,SUP-002,CorruCore Packaging Ltd,True,True
CV-0027,RFX-001,LF-04,4,SKU-021,SUP-003,GlobalBox Trading Co,True,True
CV-0028,RFX-001,LF-04,4,SKU-021,SUP-004,SwiftBox Crafts,True,True
CV-0029,RFX-001,LF-04,4,SKU-021,SUP-005,EcoPack Solutions,True,True
CV-0030,RFX-001,LF-04,4,SKU-021,SUP-006,PrimeBox Industries,True,False
CV-0031,RFX-001,LF-04,4,SKU-021,SUP-007,NovaPaper Mills,True,False
CV-0032,RFX-001,LF-04,4,SKU-021,SUP-008,Unicarton Exports,True,False
CV-0033,RFX-001,LF-05,5,SKU-026,SUP-001,PackRight Industries,True,True
CV-0034,RFX-001,LF-05,5,SKU-026,SUP-002,CorruCore Packaging Ltd,True,True
CV-0035,RFX-001,LF-05,5,SKU-026,SUP-003,GlobalBox Trading Co,True,True
CV-0036,RFX-001,LF-05,5,SKU-026,SUP-004,SwiftBox Crafts,True,True
CV-0037,RFX-001,LF-05,5,SKU-026,SUP-005,EcoPack Solutions,True,True
CV-0038,RFX-001,LF-05,5,SKU-026,SUP-006,PrimeBox Industries,True,True
CV-0039,RFX-001,LF-05,5,SKU-026,SUP-007,NovaPaper Mills,True,False
CV-0040,RFX-001,LF-05,5,SKU-026,SUP-008,Unicarton Exports,True,False
CV-0041,RFX-001,LF-06,6,SKU-031,SUP-001,PackRight Industries,True,True
CV-0042,RFX-001,LF-06,6,SKU-031,SUP-002,CorruCore Packaging Ltd,True,True
CV-0043,RFX-001,LF-06,6,SKU-031,SUP-003,GlobalBox Trading Co,True,True
CV-0044,RFX-001,LF-06,6,SKU-031,SUP-004,SwiftBox Crafts,True,False
CV-0045,RFX-001,LF-06,6,SKU-031,SUP-005,EcoPack Solutions,True,False
CV-0046,RFX-001,LF-06,6,SKU-031,SUP-006,PrimeBox Industries,True,True
CV-0047,RFX-001,LF-06,6,SKU-031,SUP-007,NovaPaper Mills,True,False
CV-0048,RFX-001,LF-06,6,SKU-031,SUP-008,Unicarton Exports,True,False
CV-0049,RFX-001,LF-07,7,SKU-036,SUP-001,PackRight Industries,True,True
CV-0050,RFX-001,LF-07,7,SKU-036,SUP-002,CorruCore Packaging Ltd,True,True
CV-0051,RFX-001,LF-07,7,SKU-036,SUP-003,GlobalBox Trading Co,True,True
CV-0052,RFX-001,LF-07,7,SKU-036,SUP-004,SwiftBox Crafts,True,True
CV-0053,RFX-001,LF-07,7,SKU-036,SUP-005,EcoPack Solutions,True,True
CV-0054,RFX-001,LF-07,7,SKU-036,SUP-006,PrimeBox Industries,True,True
CV-0055,RFX-001,LF-07,7,SKU-036,SUP-007,NovaPaper Mills,True,False
CV-0056,RFX-001,LF-07,7,SKU-036,SUP-008,Unicarton Exports,True,False
CV-0057,RFX-001,LF-08,8,SKU-041,SUP-001,PackRight Industries,True,True
CV-0058,RFX-001,LF-08,8,SKU-041,SUP-002,CorruCore Packaging Ltd,True,True
CV-0059,RFX-001,LF-08,8,SKU-041,SUP-003,GlobalBox Trading Co,True,True
CV-0060,RFX-001,LF-08,8,SKU-041,SUP-004,SwiftBox Crafts,True,True
CV-0061,RFX-001,LF-08,8,SKU-041,SUP-005,EcoPack Solutions,True,False
CV-0062,RFX-001,LF-08,8,SKU-041,SUP-006,PrimeBox Industries,True,True
CV-0063,RFX-001,LF-08,8,SKU-041,SUP-007,NovaPaper Mills,True,False
CV-0064,RFX-001,LF-08,8,SKU-041,SUP-008,Unicarton Exports,False,False
