offer_id,rfx_id,rfx_line_id,line_number,supplier_id,supplier_product_id,sku_id,supplier_product_code,quoted_description,specification,required_quantity,buyer_uom,quoted_quantity,quoted_uom,quoted_unit_price,quoted_currency,quote_received_date,quote_valid_until,payment_terms,payment_days,freight_amount,freight_basis,moq,lead_time_days,quality_requirement,discount_rule_type,discount_rule_id,discount_percentage,discount_amount,discount_currency,mapping_status,mapping_confidence,extraction_confidence
OFF-0001,RFX-001,LF-28,28,SUP-001,SP-028,SKU-045,A-045,ST Item 045,FB-38-ST-045,3.0,EA,0.01,BOX,9497.9,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,13,PASS_REQUIRED,FLAT_PERCENT,DR-001-28,5.0,,,CONFIRMED,0.7,0.91
OFF-0002,RFX-001,LF-20,20,SUP-001,SP-003,SKU-005,A-005,LP Item 005,HS-WRAP-LP-005,16000.0,EA,32.0,CARTON,3020.0,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-20,5.0,,,CONFIRMED,0.83,0.99
OFF-0003,RFX-001,LF-17,17,SUP-001,SP-024,SKU-038,A-038,FP Item 038,S-PLY-5-FP-038,3500.0,EA,35.0,CARTON,2886.35,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-17,5.0,,,CONFIRMED,0.92,0.86
OFF-0004,RFX-001,LF-04,4,SUP-001,SP-014,SKU-021,A-021,ST Item 021,FB-38-ST-021,8000.0,EA,80.0,BOX,2019.13,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-04,5.0,,,CONFIRMED,0.78,0.97
OFF-0005,RFX-001,LF-11,11,SUP-001,SP-006,SKU-008,A-008,FP Item 008,S-PLY-5-FP-008,18000.0,EA,90.0,CARTON,5528.14,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,9,PASS_REQUIRED,FLAT_PERCENT,DR-001-11,5.0,,,CONFIRMED,0.81,0.93
OFF-0006,RFX-001,LF-25,25,SUP-001,SP-019,SKU-030,A-030,SS Item 030,EK-31-SS-030,6500.0,BAG,6500.0,BAG,12.8997,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-25,5.0,,,CONFIRMED,0.84,0.95
OFF-0007,RFX-001,LF-10,10,SUP-001,SP-002,SKU-003,A-003,ST Item 003,FB-38-ST-003,9000.0,EA,180.0,BOX,876.14,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-10,5.0,,,CONFIRMED,0.81,0.86
OFF-0008,RFX-001,LF-06,6,SUP-001,SP-020,SKU-031,A-031,CB Item 031,S-PLY-3-CB-031,6000.0,EA,240.0,BOX,865.9325,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,15,PASS_REQUIRED,FLAT_PERCENT,DR-001-06,5.0,,,CONFIRMED,0.7,0.98
OFF-0009,RFX-001,LF-07,7,SUP-001,SP-023,SKU-036,A-036,SS Item 036,EK-31-SS-036,1000.0,BAG,1000.0,BAG,11.8795,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-07,5.0,,,CONFIRMED,0.8,0.95
OFF-0010,RFX-001,LF-12,12,SUP-001,SP-009,SKU-013,A-013,CB Item 013,S-PLY-3-CB-013,5000.0,EA,50.0,CARTON,3569.33,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,14,PASS_REQUIRED,FLAT_PERCENT,DR-001-12,5.0,,,CONFIRMED,0.66,0.91
OFF-0011,RFX-001,LF-23,23,SUP-001,SP-013,SKU-020,A-020,FP Item 020,S-PLY-5-FP-020,200000.0,EA,400.0,BOX,13118.85,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-23,5.0,,,CONFIRMED,0.75,0.94
OFF-0012,RFX-001,LF-15,15,SUP-001,SP-018,SKU-028,A-028,FW Item 028,UV-RES-FW-028,11000.0,ROLL,916.67,REEL,5106.9792,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-15,5.0,,,CONFIRMED,0.98,0.92
OFF-0013,RFX-001,LF-26,26,SUP-001,SP-022,SKU-035,A-035,LP Item 035,HS-WRAP-LP-035,61000.0,EA,1220.0,BOX,283.78,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,15,PASS_REQUIRED,FLAT_PERCENT,DR-001-26,5.0,,,AI_SUGGESTED,0.95,0.94
OFF-0014,RFX-001,LF-09,9,SUP-001,SP-029,SKU-046,A-046,FW Item 046,UV-RES-FW-046,4500.0,ROLL,375.0,REEL,4593.6972,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-09,5.0,,,CONFIRMED,0.93,0.98
OFF-0015,RFX-001,LF-05,5,SUP-001,SP-017,SKU-026,A-026,FP Item 026,S-PLY-5-FP-026,30000.0,EA,600.0,BOX,1204.935,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,8,PASS_REQUIRED,FLAT_PERCENT,DR-001-05,5.0,,,CONFIRMED,0.95,0.97
OFF-0016,RFX-001,LF-08,8,SUP-001,SP-026,SKU-041,A-041,LP Item 041,HS-WRAP-LP-041,7500.0,EA,37.5,BOX,1225.52,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-08,5.0,,,CONFIRMED,0.98,0.88
OFF-0017,RFX-001,LF-03,3,SUP-001,SP-011,SKU-016,A-016,FW Item 016,UV-RES-FW-016,15000.0,ROLL,1250.0,REEL,5371.4928,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,14,PASS_REQUIRED,FLAT_PERCENT,DR-001-03,5.0,,,AI_SUGGESTED,0.92,0.95
OFF-0018,RFX-001,LF-21,21,SUP-001,SP-007,SKU-010,A-010,FW Item 010,UV-RES-FW-010,13000.0,ROLL,1083.33,REEL,5108.0868,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-21,5.0,,,CONFIRMED,0.82,0.95
OFF-0019,RFX-001,LF-14,14,SUP-001,SP-015,SKU-023,A-023,LP Item 023,HS-WRAP-LP-023,7000.0,EA,280.0,CARTON,144.145,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-14,5.0,,,CONFIRMED,0.83,0.95
OFF-0020,RFX-001,LF-16,16,SUP-001,SP-021,SKU-033,A-033,ST Item 033,FB-38-ST-033,14000.0,EA,70.0,CARTON,3678.18,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,13,PASS_REQUIRED,FLAT_PERCENT,DR-001-16,5.0,,,CONFIRMED,0.95,0.91
OFF-0021,RFX-001,LF-01,1,SUP-001,SP-004,SKU-006,A-006,SS Item 006,EK-31-SS-006,20000.0,BAG,20000.0,BAG,11.3028,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-01,5.0,,,CONFIRMED,0.8,0.93
OFF-0022,RFX-001,LF-24,24,SUP-001,SP-016,SKU-025,A-025,CB Item 025,S-PLY-3-CB-025,8500.0,EA,42.5,BOX,6712.48,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,14,PASS_REQUIRED,FLAT_PERCENT,DR-001-24,5.0,,,CONFIRMED,0.78,0.93
